%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=521288629, 2018/02/22 2:21:47.35)
12 169 2.113025e+01 0 0 2.114008e+01 2.098133e+01 2.096363e+01 2.114838e+01 2.093946e+01 2.085970e+01 2.121901e+01 2.111917e+01 2.086877e+01 2.105039e+01 2.133668e+01 2.094926e+01 2.091968e+01 2.099293e+01 2.095074e+01 2.092035e+01 2.091653e+01 2.101360e+01 2.080797e+01 2.105405e+01 2.106662e+01 2.103840e+01 2.110024e+01 2.099607e+01 2.083051e+01 2.129061e+01 2.083723e+01 2.133571e+01 2.095974e+01 2.117231e+01 2.102580e+01 2.086571e+01 2.090228e+00 2.086155e+00 2.093463e+00 2.089300e+00 
13 183 2.065970e+01 0 0 2.069155e+01 2.047019e+01 2.052824e+01 2.065391e+01 2.044554e+01 2.036653e+01 2.071707e+01 2.064441e+01 2.036123e+01 2.057786e+01 2.083711e+01 2.049544e+01 2.045184e+01 2.047751e+01 2.050720e+01 2.042765e+01 2.046367e+01 2.057666e+01 2.041083e+01 2.057038e+01 2.059062e+01 2.056720e+01 2.066893e+01 2.052463e+01 2.033688e+01 2.081173e+01 2.034596e+01 2.084865e+01 2.050731e+01 2.074674e+01 2.054871e+01 2.038941e+01 2.041258e+00 2.041037e+00 2.046044e+00 2.042323e+00 
14 197 2.052564e+01 0 0 2.053513e+01 2.030583e+01 2.037020e+01 2.049806e+01 2.027532e+01 2.028886e+01 2.055599e+01 2.050243e+01 2.020027e+01 2.043801e+01 2.067368e+01 2.034757e+01 2.027825e+01 2.034381e+01 2.044477e+01 2.037288e+01 2.031893e+01 2.040728e+01 2.024181e+01 2.041754e+01 2.042759e+01 2.043884e+01 2.051354e+01 2.042887e+01 2.018207e+01 2.066651e+01 2.019447e+01 2.071048e+01 2.033155e+01 2.067305e+01 2.041412e+01 2.033644e+01 2.028030e+00 2.025444e+00 2.031850e+00 2.028585e+00 
15 211 2.019641e+01 0 0 2.018091e+01 1.995259e+01 2.001608e+01 2.015586e+01 1.992619e+01 1.994634e+01 2.018723e+01 2.016511e+01 1.986512e+01 2.011374e+01 2.030349e+01 1.999678e+01 1.992315e+01 1.999805e+01 2.010522e+01 2.007657e+01 1.998074e+01 2.006524e+01 1.989215e+01 2.009762e+01 2.009258e+01 2.008652e+01 2.018101e+01 2.007497e+01 1.984888e+01 2.033442e+01 1.984213e+01 2.038730e+01 1.998921e+01 2.034872e+01 2.008889e+01 2.001008e+01 1.991236e+00 1.990137e+00 1.996065e+00 1.992240e+00 
16 225 1.987993e+01 0 0 1.982987e+01 1.962102e+01 1.967053e+01 1.983528e+01 1.960202e+01 1.960787e+01 1.984241e+01 1.980963e+01 1.952966e+01 1.980617e+01 1.996214e+01 1.964875e+01 1.960825e+01 1.966375e+01 1.976678e+01 1.975555e+01 1.964800e+01 1.976104e+01 1.962753e+01 1.980290e+01 1.975746e+01 1.974952e+01 1.982244e+01 1.975971e+01 1.951284e+01 2.002113e+01 1.952029e+01 2.003924e+01 1.965401e+01 2.006241e+01 1.974178e+01 1.969468e+01 1.957492e+00 1.957330e+00 1.962986e+00 1.958598e+00 
17 239 1.961957e+01 0 0 1.954781e+01 1.934987e+01 1.937593e+01 1.959814e+01 1.934841e+01 1.933839e+01 1.956030e+01 1.950707e+01 1.929569e+01 1.961090e+01 1.966149e+01 1.938390e+01 1.932122e+01 1.939524e+01 1.949698e+01 1.950059e+01 1.936392e+01 1.948259e+01 1.935834e+01 1.953054e+01 1.948554e+01 1.946626e+01 1.954087e+01 1.951922e+01 1.923047e+01 1.974511e+01 1.923911e+01 1.976896e+01 1.936753e+01 1.983078e+01 1.946175e+01 1.940510e+01 1.932677e+00 1.930703e+00 1.943214e+00 1.940681e+00 
18 253 1.894707e+01 0 0 1.888660e+01 1.866988e+01 1.866993e+01 1.889150e+01 1.866959e+01 1.865239e+01 1.886735e+01 1.880752e+01 1.861532e+01 1.894999e+01 1.897582e+01 1.869664e+01 1.862476e+01 1.873382e+01 1.879686e+01 1.881323e+01 1.873647e+01 1.882062e+01 1.870523e+01 1.885272e+01 1.880849e+01 1.881651e+01 1.885004e+01 1.886026e+01 1.862831e+01 1.909408e+01 1.853977e+01 1.906513e+01 1.866715e+01 1.915347e+01 1.876154e+01 1.874255e+01 1.864381e+00 1.865003e+00 1.873122e+00 1.869772e+00 
19 267 1.833132e+01 0 0 1.824570e+01 1.803327e+01 1.806391e+01 1.826459e+01 1.802902e+01 1.804308e+01 1.824882e+01 1.816563e+01 1.801361e+01 1.831902e+01 1.836610e+01 1.807534e+01 1.798907e+01 1.813083e+01 1.819232e+01 1.817615e+01 1.812950e+01 1.817512e+01 1.807543e+01 1.824344e+01 1.821841e+01 1.818931e+01 1.821754e+01 1.824695e+01 1.800320e+01 1.847392e+01 1.789886e+01 1.845125e+01 1.806856e+01 1.854191e+01 1.817105e+01 1.809968e+01 1.802050e+00 1.802013e+00 1.812827e+00 1.806809e+00 
20 281 1.777126e+01 0 0 1.766441e+01 1.745538e+01 1.748002e+01 1.769615e+01 1.746929e+01 1.751300e+01 1.766469e+01 1.759691e+01 1.747113e+01 1.783239e+01 1.784688e+01 1.750972e+01 1.741930e+01 1.756072e+01 1.759805e+01 1.761120e+01 1.757744e+01 1.762317e+01 1.751702e+01 1.767306e+01 1.764712e+01 1.761890e+01 1.765450e+01 1.768450e+01 1.744224e+01 1.789720e+01 1.732948e+01 1.786380e+01 1.748012e+01 1.795593e+01 1.767477e+01 1.752796e+01 1.744176e+00 1.743420e+00 1.757908e+00 1.750160e+00 
21 295 1.717852e+01 0 0 1.705453e+01 1.685601e+01 1.690174e+01 1.711307e+01 1.686937e+01 1.693297e+01 1.708226e+01 1.698045e+01 1.688551e+01 1.722549e+01 1.725308e+01 1.689484e+01 1.681061e+01 1.695526e+01 1.705752e+01 1.700376e+01 1.698003e+01 1.701395e+01 1.691065e+01 1.710410e+01 1.706402e+01 1.702143e+01 1.703250e+01 1.707752e+01 1.684440e+01 1.728284e+01 1.673143e+01 1.725687e+01 1.686989e+01 1.736518e+01 1.709692e+01 1.692971e+01 1.683298e+00 1.683884e+00 1.696607e+00 1.689104e+00 
