%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=521288629, 2018/02/22 2:21:47.35)
19 267  8.000154529307083706e+00 0 0 5.436764e+00 5.496280e+00 -1.471258e+01 2.218537e+01 -1.333266e+01 4.303876e+01 -1.847879e+00 1.558427e+01 1.296126e+01 4.931041e+01 6.839253e+01 1.561434e+01 -2.614734e-02 -2.837480e+01 2.921725e+01 3.494647e+01 3.984375e+01 2.315912e+01 2.662741e+01 3.016539e+01 2.847383e+01 8.218480e+00 3.229406e+01 4.737846e+01 -1.513462e+00 7.921038e+01 -1.019858e+01 4.799350e+01 -1.932804e+01 8.844410e+01 1.041467e+00 7.752044e+00 2.487990e+00 -7.194444e-01 3.636957e+00 -2.151517e-01 
20 281  8.000000047207828757e+00 0 0 9.593031e+00 5.916395e-01 4.599557e+00 1.369414e+01 -1.260281e+01 2.292299e+01 7.412010e+00 2.672898e+01 5.708008e+00 5.894524e+01 3.925385e+01 -1.890898e+01 -2.943930e+01 -1.366891e+01 3.302369e+01 5.290625e+01 8.532766e-01 3.546578e+01 2.495106e+01 6.509028e+01 3.301859e+01 1.734482e+01 1.581486e+01 3.562918e+01 2.953544e+01 6.858274e+01 4.134909e+00 1.827816e+01 -1.655598e+01 5.578614e+01 2.028835e+01 -7.016756e+00 1.495014e+00 2.172736e-04 1.003959e+00 -3.567346e+00 
21 295  8.000219664823596588e+00 0 0 2.339013e+00 3.587189e+01 1.122461e+01 3.678196e+01 2.185064e+01 6.193551e+01 -2.981245e+01 3.524981e+01 3.501601e-01 4.343505e+01 9.222484e+01 5.826698e+00 8.225509e+00 -2.635781e+01 4.161730e+01 1.807622e+01 1.105409e+01 3.193170e+01 7.878255e+00 6.908091e+01 3.745452e+01 1.193619e+01 -6.499763e+00 3.289060e+01 1.757205e+01 7.391106e+01 -1.054926e+01 1.025844e+01 5.461442e+00 8.366581e+01 4.477893e+01 2.637678e+01 1.762537e+00 -9.315402e-01 4.701563e+00 -6.974032e-02 
22 309  8.000171991306181951e+00 0 0 2.136271e+01 1.818989e+00 -8.920046e+00 2.636245e+01 1.508906e+01 5.082023e+01 -2.664485e+01 -5.678158e-01 6.605835e+00 3.557428e+01 6.580919e+01 1.938908e+01 -3.652891e+01 -3.075266e+01 -1.199145e+01 3.582268e+01 1.349098e+01 2.351432e+01 2.579099e+01 6.181626e+01 2.434028e+01 -2.907581e+01 9.313117e+00 5.782505e+01 2.102182e+01 9.784868e+01 1.704670e+00 4.193775e+01 -8.730760e+00 9.412917e+01 1.013370e+01 -3.941834e+00 -3.029917e-01 -1.531543e-02 3.492685e+00 -1.025098e+00 
23 323  8.000003722159521047e+00 0 0 3.816708e+01 3.536731e+01 3.756578e+01 6.758553e+01 -1.641421e+01 1.484851e+01 -4.186969e+00 4.559307e+00 -8.002213e+00 4.688879e+01 4.705384e+01 -7.415105e-01 -5.873258e+00 -4.892287e+00 2.405802e+01 1.466439e+01 3.001529e+01 -1.089335e+01 3.419290e+01 4.955924e+01 1.253723e+00 -1.253520e+01 -2.592276e+01 6.313870e+01 1.330937e+01 8.007216e+01 -3.574238e+00 2.239577e+01 1.159090e+01 5.307172e+01 1.720085e+01 8.216871e+00 -1.929290e-03 -2.369206e+00 6.624699e+00 6.928027e-01 
24 337  8.000766842332616591e+00 0 0 4.311193e+01 1.786346e+01 3.412488e+01 6.482668e+01 1.216776e+01 5.094488e+01 -1.602760e+00 1.896785e+01 4.396169e+00 3.697315e+01 6.058969e+01 9.195661e+00 -9.132143e+00 -4.006421e+00 7.385327e+00 4.076828e+01 9.673759e+00 1.689882e+01 2.700681e+01 4.012150e+01 -4.213144e-02 -8.709953e+00 -2.199004e+01 7.473517e+01 2.867777e+01 9.230057e+01 -3.951617e+01 4.620682e+01 2.763480e+01 6.542356e+01 5.042656e+00 1.576795e+01 4.100588e-01 -5.161147e-01 2.720830e+00 2.368020e+00 
25 351  8.001958667865370245e+00 0 0 3.164492e+01 -9.816094e+00 3.115551e+01 4.337826e+01 -2.410090e+00 3.377031e+01 -8.378937e+00 2.716697e+01 -6.551837e+00 4.790056e+01 5.497776e+01 -1.003935e+01 9.462365e+00 -8.925978e+00 1.595623e+01 5.449654e+01 2.637806e+01 1.741015e+01 3.899117e+01 2.714603e+01 -2.091170e+01 -3.248862e+01 -3.998572e+00 4.285081e+01 -4.161400e+00 1.011794e+02 -2.383638e+01 4.445884e+01 3.624967e+01 7.218464e+01 1.490739e+01 4.666107e+00 1.857255e-01 -4.425684e-02 6.050775e+00 2.742933e+00 
26 365  8.000001612935148998e+00 0 0 -8.798579e+00 1.388946e+01 1.968310e+01 2.438535e+01 -2.587969e+00 3.513776e+01 2.071904e+00 -1.420148e+01 -3.365379e+01 5.459840e+01 3.333684e+01 -2.186793e+00 1.372469e+00 -1.837901e+01 2.719286e+01 4.440106e+01 1.871373e+01 1.906868e+01 3.023741e+01 3.627232e+01 3.155585e+01 -2.630614e+01 2.111587e+01 2.507581e+01 8.975111e+00 1.055510e+02 -3.428672e+00 1.075480e+01 7.537063e+00 7.384136e+01 3.764976e+01 8.261424e-01 1.506994e+00 -1.392252e-01 6.819367e-01 1.685523e+00 
27 379  8.000002122391300929e+00 0 0 2.071877e+01 2.782895e+00 -1.630177e+00 1.673980e+01 -8.409032e-01 2.881499e+01 -1.188697e+01 2.984451e+01 2.054980e+01 8.789100e+01 8.189195e+01 2.040453e+01 -1.857831e+00 -3.517646e+00 1.139828e+01 5.346128e+01 4.464194e+01 4.600329e+00 2.059297e+01 5.372383e+01 -2.250183e+00 -2.350297e+01 -7.063045e+00 4.208761e+01 2.009137e+01 1.003008e+02 1.416192e+01 3.036666e+01 2.313612e+01 6.421870e+01 9.535252e-01 7.461115e+00 2.397980e+00 -1.710644e+00 1.552917e+00 2.695946e+00 
28 393  8.008381896297214197e+00 0 0 2.046976e+01 -3.384257e+00 2.822114e+01 4.869568e+01 -1.189499e+01 5.907300e+01 1.514054e+01 2.071729e+01 -3.073888e+00 5.848947e+01 4.451541e+01 1.981061e+01 5.722685e+00 6.296271e+00 3.961863e+01 3.708724e+01 3.466877e+01 1.186679e+01 2.650996e+01 6.519427e+01 1.186123e+01 -2.865423e+01 1.942903e+01 5.151701e+01 1.685124e+01 9.362763e+01 -2.503233e+00 5.948503e+01 2.230405e+01 5.642522e+01 2.118421e+01 3.118422e+00 -9.155270e-02 -1.000469e+00 -3.256309e-01 -1.282548e+00 
