%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=521288629, 2018/02/22 2:21:47.35)
58 813 1.091354e+01 1.240564e+01  8.000000000000000000e+00  8.000022641218688335e+00  8.006146231744564190e+00  8.077224471878905021e+00
59 827 1.078021e+01 1.243256e+01  8.000000000000000000e+00  8.000104351534158553e+00  8.108416187314158918e+00  9.276552198861278242e+00
60 841 1.063330e+01 1.246166e+01  8.000000000000000000e+00  8.000000960362164903e+00  8.016694413339926939e+00  8.432887015053841751e+00
61 855 1.049809e+01 1.246699e+01  8.000000000000000000e+00  8.000006675094342157e+00  8.009188691837746177e+00  8.697378414315750206e+00
62 869 1.035568e+01 1.249034e+01  8.000000000000000000e+00  8.000004698098408085e+00  8.005785537244804573e+00  8.484380395227757887e+00
63 883 1.015327e+01 1.250518e+01  8.000000000000000000e+00  8.000321286253333497e+00  8.026234906472847541e+00  8.240540156120337301e+00
64 897 9.774886e+00 1.251832e+01  8.000000000000000000e+00  8.000119977175799590e+00  8.007860587960479393e+00  1.051162884052605406e+01
65 911 9.410660e+00 1.253426e+01  8.000000000000000000e+00  8.000104532955754522e+00  8.053762434305630435e+00  8.218288171353922422e+00
66 925 9.031482e+00 1.254340e+01  8.000000000000000000e+00  8.000275226395823225e+00  8.006826436370946709e+00  8.939399222120595567e+00
67 939 8.842978e+00 1.254815e+01  8.000000000000000000e+00  8.000014440732375220e+00  8.040018314661184107e+00  9.096212443997380603e+00
68 953 8.745825e+00 1.257624e+01  8.000000000000000000e+00  8.000302605936182587e+00  8.013441820517641645e+00  8.447060584463775612e+00
69 967 8.598740e+00 1.255563e+01  8.000000000000000000e+00  8.000096223961495667e+00  8.018608541610575458e+00  8.376534447329611055e+00
70 981 8.522656e+00 1.256253e+01  8.000000000000000000e+00  8.000203782599143665e+00  8.008867508823570347e+00  8.209531790180870203e+00
71 995 8.500583e+00 1.260008e+01  8.000000000000000000e+00  8.000023619780082029e+00  8.009876166889503324e+00  8.127494225269986217e+00
72 1009 8.486553e+00 1.265967e+01  8.000000000000000000e+00  8.000012913911122681e+00  8.017758819898027411e+00  8.239360980036117610e+00
73 1023 8.437162e+00 1.271910e+01  8.000000000000000000e+00  8.000002698584731675e+00  8.017590872384982248e+00  8.217197573989805548e+00
74 1037 8.201382e+00 1.274413e+01  8.000000000000000000e+00  8.001878729703031823e+00  8.042678167506494447e+00  8.244432550927436765e+00
75 1051 8.006564e+00 1.276833e+01  8.000000000000000000e+00  8.001592495014921980e+00  8.007249884884329205e+00  8.164110868738093885e+00
76 1065 7.963034e+00 1.275620e+01  8.000000000000000000e+00  8.000104155582729248e+00  8.019743053044482650e+00  8.629699503381422332e+00
77 1079 7.895666e+00 1.272992e+01  8.000000000000000000e+00  8.000022322724902324e+00  8.021006523188992432e+00  8.167370458647154052e+00
78 1093 7.805631e+00 1.271622e+01  8.000000000000000000e+00  8.000009189170096846e+00  8.009090846540022568e+00  8.246271420920361805e+00
79 1107 7.752660e+00 1.275963e+01  8.000000000000000000e+00  8.000796107189627193e+00  8.018882740030388590e+00  9.629291055699209068e+00
80 1121 7.649158e+00 1.279444e+01  8.000000000000000000e+00  8.000000764446035362e+00  8.010281861621333377e+00  8.264195735592679171e+00
81 1135 7.554748e+00 1.281675e+01  8.000000000000000000e+00  8.000047990036843970e+00  8.018939828199346920e+00  9.062759044478042370e+00
82 1149 7.488730e+00 1.282719e+01  8.000000000000000000e+00  8.000001604012961565e+00  8.006280094307770767e+00  8.126916522714575208e+00
83 1163 7.377636e+00 1.282306e+01  8.000000000000000000e+00  8.000010208967051284e+00  8.006304884359398244e+00  8.393947964068120271e+00
84 1177 7.286077e+00 1.284131e+01  8.000000000000000000e+00  8.000072282726044648e+00  8.007533326187143530e+00  8.080990232200939261e+00
85 1191 7.317888e+00 1.284825e+01  8.000000000000000000e+00  8.000085301104890689e+00  8.003819544705148559e+00  8.119780352970789039e+00
86 1205 7.284406e+00 1.288770e+01  8.000000000000000000e+00  8.000007613715816035e+00  8.028541935196773949e+00  8.250688603792033504e+00
87 1219 7.371308e+00 1.290434e+01  8.000000000000000000e+00  8.000044749496399987e+00  8.011898210753049199e+00  8.172086276426874463e+00
88 1233 7.466501e+00 1.295356e+01  8.000000000000000000e+00  8.000000017975585465e+00  8.023721190235278300e+00  8.285333576825744117e+00
89 1247 7.550827e+00 1.297610e+01  8.000000000000000000e+00  8.000124399786642471e+00  8.004630983255278665e+00  8.182627514517731626e+00
